id,age,gender,math,science,english,sports,music,Total Marks,Percentage,GradeClass,StudyHours
76,18,male,63,68,92,No,Yes,223,74.33333333,C,12
77,17,male,47,81,78,No,Yes,206,68.66666667,D,9
78,20,female,64,89,75,No,No,228,76,C,6
79,20,female,93,70,71,No,No,234,78,C,9
80,20,male,83,66,65,Yes,Yes,214,71.33333333,C,12
81,21,female,65,72,84,Yes,No,221,73.66666667,C,14
82,17,male,65,80,70,Yes,No,215,71.66666667,C,13
83,21,male,65,52,42,No,No,159,53,E,13
84,21,male,101,40,53,Yes,No,194,64.66666667,D,5
85,17,male,76,64,66,,Yes,206,68.66666667,D,13
86,17,male,76,55,72,No,No,203,67.66666667,D,11
87,17,female,85,65,67,Yes,No,217,72.33333333,C,13
88,17,female,74,70,84,No,Yes,228,76,C,12
89,20,female,66,66,43,Yes,Yes,175,58.33333333,E,5
90,19,female,67,92,70,No,No,229,76.33333333,C,12
91,19,male,69,,44,Yes,No,113,37.66666667,F,12
92,17,male,69,76,78,No,Yes,223,74.33333333,C,15
93,19,male,81,81,67,Yes,Yes,229,76.33333333,C,7
94,19,male,71,56,73,Yes,Yes,200,66.66666667,D,5
95,17,female,81,87,57,No,No,225,75,C,12
96,19,male,69,71,85,No,No,225,75,C,7
97,21,male,71,81,82,Yes,Yes,234,78,C,7
98,18,female,40,57,76,No,No,173,57.66666667,E,5
99,18,female,84,50,66,No,Yes,200,66.66666667,D,15
100,17,female,75,83,76,No,No,234,78,C,9
101,20,female,85,77,59,Yes,Yes,221,73.66666667,C,14
102,17,male,27,59,79,Yes,Yes,165,55,E,11
103,20,male,15,20,18,No,No,53,17.66666667,F,14
104,18,female,68,,82,No,No,150,50,E,13
105,17,male,87,55,59,Yes,No,201,67,D,11
106,21,male,54,95,73,No,No,222,74,C,13
107,19,male,79,59,51,Yes,No,189,63,D,12
108,20,female,54,81,75,No,No,210,70,C,6
109,19,male,61,67,74,No,Yes,202,67.33333333,D,5
110,19,female,99,80,44,No,No,223,74.33333333,C,11
111,17,male,67,64,53,Yes,Yes,184,61.33333333,D,11
112,19,male,73,70,64,,Yes,207,69,D,12
113,21,male,83,73,64,Yes,No,220,73.33333333,C,9
114,19,female,77,,52,Yes,Yes,129,43,F,7
115,17,male,72,82,73,No,Yes,227,75.66666667,C,12
116,21,female,75,65,71,No,No,211,70.33333333,C,10
117,18,female,106,69,65,Yes,No,240,80,B,15
118,19,female,69,58,58,No,No,185,61.66666667,D,7
119,17,male,73,36,82,No,Yes,191,63.66666667,D,5
120,18,male,86,69,90,Yes,No,245,81.66666667,B,7
121,18,male,87,106,62,No,No,255,85,B,9
122,20,male,88,83,,No,No,171,57,E,7
123,21,female,80,72,74,Yes,No,226,75.33333333,C,5
124,19,female,53,68,63,No,Yes,184,61.33333333,D,9
125,17,female,95,72,66,No,No,233,77.66666667,C,14
126,20,male,53,80,78,No,Yes,211,70.33333333,C,11
127,21,female,75,,43,Yes,No,118,39.33333333,F,11
128,20,male,59,88,85,Yes,Yes,232,77.33333333,C,15
129,21,female,69,82,69,,Yes,220,73.33333333,C,13
130,21,male,,,63,No,Yes,63,21,F,14
131,19,male,75,78,67,,No,220,73.33333333,C,14
132,21,female,76,72,68,Yes,Yes,216,72,C,7
133,20,female,94,81,45,Yes,No,220,73.33333333,C,11
134,21,female,77,80,87,Yes,No,244,81.33333333,B,5
135,19,female,66,67,69,No,No,202,67.33333333,D,8
136,19,male,84,64,74,No,No,222,74,C,8
137,20,female,88,73,80,No,No,241,80.33333333,B,9
138,18,female,52,94,55,No,Yes,201,67,D,11
139,18,female,79,55,74,No,No,208,69.33333333,D,11
140,21,male,81,51,65,Yes,Yes,197,65.66666667,D,15
141,17,male,66,74,79,No,Yes,219,73,C,8
142,21,female,91,73,40,No,Yes,204,68,D,11
143,20,male,68,74,67,,Yes,209,69.66666667,D,15
144,20,female,72,75,60,Yes,Yes,207,69,D,7
145,20,male,67,69,74,No,Yes,210,70,C,10
146,20,male,70,93,74,Yes,Yes,237,79,C,6
147,20,male,54,50,59,Yes,No,163,54.33333333,E,14
148,19,male,48,60,59,Yes,Yes,167,55.66666667,E,13
149,18,female,,71,67,Yes,No,138,46,F,9
150,20,female,57,49,56,Yes,Yes,162,54,E,10
151,17,female,55,70,79,No,Yes,204,68,D,8
152,17,male,38,95,63,No,Yes,196,65.33333333,D,15
153,17,female,60,,30,Yes,Yes,90,30,F,14
154,17,female,50,75,63,Yes,No,188,62.66666667,D,11
155,19,female,95,54,54,Yes,No,203,67.66666667,D,13
156,17,male,85,63,47,No,No,195,65,D,11
157,20,male,60,67,52,No,Yes,179,59.66666667,E,5
158,21,male,,68,69,Yes,Yes,137,45.66666667,F,5
159,17,female,85,90,85,No,Yes,260,86.66666667,B,13
160,19,female,65,80,72,No,No,217,72.33333333,C,15
161,19,female,33,56,60,Yes,Yes,149,49.66666667,F,13
162,17,male,104,75,74,Yes,No,253,84.33333333,B,8
163,21,male,49,79,62,No,No,190,63.33333333,D,13
164,17,female,45,88,,No,Yes,133,44.33333333,F,7
165,19,male,85,94,53,No,Yes,232,77.33333333,C,11
166,18,male,107,58,45,Yes,No,210,70,C,10
167,20,male,91,61,63,Yes,No,215,71.66666667,C,12
168,19,male,,54,70,Yes,No,124,41.33333333,F,15
169,17,female,79,69,67,No,Yes,215,71.66666667,C,13
170,20,male,83,79,63,No,Yes,225,75,C,9
171,17,male,81,86,56,Yes,Yes,223,74.33333333,C,5
172,17,male,74,71,76,No,Yes,221,73.66666667,C,7
173,18,male,72,68,51,Yes,Yes,191,63.66666667,D,14
174,20,female,110,105,78,No,Yes,293,97.66666667,A,12
175,20,female,59,60,,Yes,No,119,39.66666667,F,15
176,18,male,66,101,58,No,No,225,75,C,10
177,19,male,45,49,49,,No,143,47.66666667,F,12
178,17,male,69,75,61,Yes,Yes,205,68.33333333,D,13
179,21,male,55,100,81,Yes,No,236,78.66666667,C,8
180,17,male,53,72,75,Yes,Yes,200,66.66666667,D,5
181,17,male,73,69,81,Yes,Yes,223,74.33333333,C,5
182,19,female,91,67,75,Yes,No,233,77.66666667,C,14
183,17,male,84,69,54,No,Yes,207,69,D,8
184,18,female,46,91,64,Yes,No,201,67,D,11
185,18,female,55,41,58,Yes,No,154,51.33333333,E,6
186,20,male,84,93,85,Yes,Yes,262,87.33333333,B,7
187,21,female,55,52,52,Yes,No,159,53,E,5
188,17,female,67,68,80,Yes,No,215,71.66666667,C,9
189,17,female,78,66,,No,No,144,48,F,5
190,19,female,55,80,92,Yes,No,227,75.66666667,C,12
191,18,female,72,50,63,Yes,Yes,185,61.66666667,D,5
192,21,female,50,78,77,Yes,No,205,68.33333333,D,15
193,20,male,61,100,98,No,No,259,86.33333333,B,5
194,18,female,75,53,60,No,No,188,62.66666667,D,6
195,20,female,46,75,48,Yes,Yes,169,56.33333333,E,6
196,19,female,77,63,44,Yes,No,184,61.33333333,D,10
197,19,male,70,78,77,No,Yes,225,75,C,11
198,17,female,78,72,44,No,No,194,64.66666667,D,9
199,21,male,73,63,63,No,No,199,66.33333333,D,5
200,20,female,90,79,74,Yes,No,243,81,B,5
201,18,male,72,,70,Yes,Yes,142,47.33333333,F,7
202,19,male,64,69,74,No,Yes,207,69,D,6
203,17,female,72,82,71,,Yes,225,75,C,9
204,17,female,78,54,85,No,Yes,217,72.33333333,C,14
205,20,male,71,59,56,No,Yes,186,62,D,10
206,19,female,71,79,59,No,Yes,209,69.66666667,D,11
207,21,male,59,93,58,Yes,No,210,70,C,8
208,19,male,60,77,79,No,Yes,216,72,C,11
209,20,male,49,68,80,No,No,197,65.66666667,D,15
210,20,male,96,72,74,Yes,Yes,242,80.66666667,B,12
211,19,male,51,54,83,No,Yes,188,62.66666667,D,15
212,20,female,60,80,53,Yes,Yes,193,64.33333333,D,5
213,19,male,59,84,90,No,No,233,77.66666667,C,10
214,18,male,83,66,88,Yes,Yes,237,79,C,12
215,19,female,,65,78,No,Yes,143,47.66666667,F,9
216,19,male,89,76,91,No,No,256,85.33333333,B,8
217,20,female,60,66,46,No,No,172,57.33333333,E,6
218,20,female,74,71,61,No,No,206,68.66666667,D,10
219,17,female,57,101,58,No,No,216,72,C,10
220,17,male,102,69,77,Yes,Yes,248,82.66666667,B,15
221,18,male,52,67,54,Yes,No,173,57.66666667,E,5
222,17,male,75,63,78,No,Yes,216,72,C,13
223,19,female,80,82,86,No,Yes,248,82.66666667,B,15
224,20,male,76,69,77,No,No,222,74,C,10
225,17,female,67,63,72,,Yes,202,67.33333333,D,7
226,17,male,68,90,55,Yes,No,213,71,C,8
227,18,female,71,92,57,No,Yes,220,73.33333333,C,15
228,18,male,68,64,84,Yes,No,216,72,C,8
229,19,male,84,,78,No,No,162,54,E,7
230,20,male,103,,67,No,No,170,56.66666667,E,14
231,18,female,62,62,63,No,No,187,62.33333333,D,7
232,17,female,49,83,42,,No,174,58,E,7
233,20,male,69,44,54,No,No,167,55.66666667,E,8
234,20,male,109,84,93,No,Yes,286,95.33333333,A,11
235,17,female,58,55,51,No,Yes,164,54.66666667,E,8
236,18,female,95,82,70,Yes,Yes,247,82.33333333,B,13
237,17,female,95,72,81,Yes,No,248,82.66666667,B,5
238,20,male,62,59,52,Yes,Yes,173,57.66666667,E,12
239,21,female,79,66,70,No,No,215,71.66666667,C,11
240,21,male,94,82,80,Yes,Yes,256,85.33333333,B,6
241,19,female,64,73,68,No,Yes,205,68.33333333,D,12
242,17,male,67,80,105,Yes,No,252,84,B,5
243,17,female,61,100,,No,Yes,161,53.66666667,E,15
244,19,female,,50,82,Yes,Yes,132,44,F,13
245,19,female,60,95,66,No,Yes,221,73.66666667,C,13
246,19,female,52,73,78,Yes,No,203,67.66666667,D,6
247,20,female,71,59,74,Yes,Yes,204,68,D,11
248,17,male,58,53,58,Yes,No,169,56.33333333,E,14
249,20,female,74,69,,No,Yes,143,47.66666667,F,7
250,19,female,47,85,44,Yes,Yes,176,58.66666667,E,11
251,17,female,75,70,76,Yes,Yes,221,73.66666667,C,14
252,20,male,83,93,72,Yes,Yes,248,82.66666667,B,13
253,20,female,40,52,76,Yes,No,168,56,E,8
254,19,male,76,72,82,No,Yes,230,76.66666667,C,5
255,17,female,88,54,73,Yes,No,215,71.66666667,C,6
256,19,female,52,77,70,No,No,199,66.33333333,D,5
257,17,male,95,84,57,No,Yes,236,78.66666667,C,9
258,21,female,76,66,59,No,Yes,201,67,D,9
259,18,male,59,36,83,No,No,178,59.33333333,E,15
260,18,male,69,75,87,Yes,No,231,77,C,11
261,18,female,78,78,65,No,Yes,221,73.66666667,C,13
262,19,male,71,78,69,No,Yes,218,72.66666667,C,13
263,21,female,78,,56,No,Yes,134,44.66666667,F,7
264,17,female,56,57,83,No,Yes,196,65.33333333,D,7
265,20,male,73,82,77,Yes,Yes,232,77.33333333,C,7
266,17,male,49,89,93,Yes,No,231,77,C,8
267,20,male,68,47,57,No,Yes,172,57.33333333,E,12
268,17,male,56,76,63,No,Yes,195,65,D,10
269,21,female,59,,71,No,No,130,43.33333333,F,12
270,20,female,89,71,76,Yes,Yes,236,78.66666667,C,5
271,19,male,86,77,65,Yes,Yes,228,76,C,12
272,17,female,,65,57,Yes,No,122,40.66666667,F,8
273,17,female,54,63,79,Yes,Yes,196,65.33333333,D,15
274,20,female,65,72,77,Yes,No,214,71.33333333,C,5
275,19,female,88,,56,No,Yes,144,48,F,12
276,19,male,72,57,86,Yes,Yes,215,71.66666667,C,8
277,21,male,105,82,83,Yes,Yes,270,90,A,10
278,19,female,76,56,,No,No,132,44,F,12
279,19,male,73,81,69,Yes,No,223,74.33333333,C,8
280,19,male,65,78,75,Yes,No,218,72.66666667,C,7
281,18,male,72,48,57,Yes,No,177,59,E,13
282,21,female,68,63,68,No,Yes,199,66.33333333,D,7
283,17,female,81,89,,,No,170,56.66666667,E,13
284,20,female,84,58,79,No,No,221,73.66666667,C,6
285,17,male,58,65,48,No,No,171,57,E,6
286,21,female,50,78,88,Yes,Yes,216,72,C,6
287,20,female,42,83,64,Yes,Yes,189,63,D,10
288,21,male,78,,65,Yes,No,143,47.66666667,F,7
289,19,female,53,64,60,Yes,No,177,59,E,13
290,20,female,38,92,64,No,Yes,194,64.66666667,D,8
291,19,male,76,96,86,Yes,No,258,86,B,5
292,17,male,107,86,36,No,No,229,76.33333333,C,8
293,17,male,70,73,85,No,No,228,76,C,5
294,20,female,83,61,72,No,No,216,72,C,9
295,20,female,71,60,52,No,Yes,183,61,D,8
296,21,female,69,79,54,No,Yes,202,67.33333333,D,12
297,21,male,84,78,90,Yes,Yes,252,84,B,12
298,19,male,66,92,,No,No,158,52.66666667,E,11
299,20,female,74,81,53,No,No,208,69.33333333,D,7
300,17,female,75,51,83,Yes,Yes,209,69.66666667,D,5
301,21,male,60,87,72,Yes,Yes,219,73,C,5
302,21,male,85,58,56,No,Yes,199,66.33333333,D,15
303,17,male,67,67,71,No,No,205,68.33333333,D,7
304,21,male,59,76,55,Yes,Yes,190,63.33333333,D,10
305,19,female,,100,82,No,No,182,60.66666667,D,11
306,20,male,57,116,82,Yes,No,255,85,B,10
307,17,female,70,80,75,Yes,Yes,225,75,C,10
308,20,female,70,69,73,No,Yes,212,70.66666667,C,10
309,21,female,86,79,91,,No,256,85.33333333,B,7
310,21,male,15,20,18,No,Yes,53,17.66666667,F,10
311,17,male,70,68,53,No,Yes,191,63.66666667,D,12
312,19,male,82,97,74,No,No,253,84.33333333,B,15
313,18,male,91,75,95,Yes,No,261,87,B,15
314,17,female,78,79,55,No,No,212,70.66666667,C,6
315,18,male,,81,63,,No,144,48,F,9
316,18,male,50,78,73,No,No,201,67,D,5
317,19,female,54,84,67,No,Yes,205,68.33333333,D,5
318,18,male,65,63,55,Yes,No,183,61,D,9
319,18,female,,64,83,,No,147,49,F,7
320,19,female,67,57,98,No,No,222,74,C,8
321,18,female,71,78,71,Yes,Yes,220,73.33333333,C,7
322,18,female,78,83,56,Yes,No,217,72.33333333,C,5
323,18,female,69,78,48,,No,195,65,D,5
324,17,female,77,95,71,No,No,243,81,B,9
325,17,female,71,72,82,Yes,Yes,225,75,C,10
326,17,female,40,81,74,Yes,No,195,65,D,7
327,19,male,56,57,68,No,No,181,60.33333333,D,13
328,21,male,68,67,60,Yes,No,195,65,D,9
329,18,male,52,,,No,Yes,52,17.33333333,F,12
330,18,male,79,84,79,No,Yes,242,80.66666667,B,5
331,19,female,93,68,80,Yes,Yes,241,80.33333333,B,9
332,18,male,88,71,48,No,Yes,207,69,D,7
333,17,female,67,,89,Yes,No,156,52,E,5
334,21,male,92,67,75,Yes,No,234,78,C,8
335,20,male,72,84,,,Yes,156,52,E,9
336,18,male,65,80,51,Yes,Yes,196,65.33333333,D,11
337,17,female,61,79,50,No,No,190,63.33333333,D,5
338,20,male,65,73,66,No,No,204,68,D,7
339,21,female,64,72,75,Yes,Yes,211,70.33333333,C,6
340,20,female,73,63,,Yes,Yes,136,45.33333333,F,13
341,17,male,72,82,77,No,Yes,231,77,C,14
342,20,male,70,78,65,Yes,Yes,213,71,C,10
343,19,male,77,79,55,No,No,211,70.33333333,C,14
344,20,female,88,65,84,Yes,Yes,237,79,C,7
345,18,male,84,42,55,No,Yes,181,60.33333333,D,12
346,18,female,48,87,89,No,No,224,74.66666667,C,12
347,19,female,32,65,64,No,No,161,53.66666667,E,6
348,17,male,,60,89,Yes,No,149,49.66666667,F,10
349,18,male,49,82,77,Yes,No,208,69.33333333,D,11
350,21,female,67,,66,,No,133,44.33333333,F,6
351,18,female,52,87,61,Yes,Yes,200,66.66666667,D,15
352,18,female,43,81,64,Yes,Yes,188,62.66666667,D,14
353,17,male,78,82,74,No,Yes,234,78,C,6
354,20,female,81,53,69,No,No,203,67.66666667,D,14
355,18,male,61,89,60,No,Yes,210,70,C,5
356,19,female,31,76,66,No,No,173,57.66666667,E,12
357,20,female,62,67,69,No,Yes,198,66,D,5
358,21,male,76,74,40,No,Yes,190,63.33333333,D,13
359,17,female,48,47,74,No,No,169,56.33333333,E,15
360,21,male,73,78,55,Yes,No,206,68.66666667,D,10
361,20,male,70,58,53,No,Yes,181,60.33333333,D,11
362,20,female,79,53,46,Yes,Yes,178,59.33333333,E,14
363,20,male,,51,45,No,Yes,96,32,F,11
364,21,male,55,88,50,,Yes,193,64.33333333,D,14
365,20,female,88,63,59,Yes,Yes,210,70,C,7
366,21,male,68,93,93,No,No,254,84.66666667,B,6
367,20,male,70,64,61,Yes,No,195,65,D,13
368,19,male,56,48,70,No,No,174,58,E,12
369,20,female,63,56,73,Yes,No,192,64,D,14
370,21,male,57,89,70,No,Yes,216,72,C,11
371,18,female,67,70,67,Yes,Yes,204,68,D,13
372,20,female,96,64,52,Yes,No,212,70.66666667,C,8
373,18,male,49,74,87,No,Yes,210,70,C,8
374,19,male,46,79,91,No,No,216,72,C,5
375,17,male,92,88,46,Yes,Yes,226,75.33333333,C,12
376,19,female,,92,55,No,Yes,147,49,F,7
377,20,male,60,67,64,,Yes,191,63.66666667,D,11
378,18,male,86,53,55,No,No,194,64.66666667,D,6
379,18,male,61,66,75,Yes,No,202,67.33333333,D,6
380,21,male,97,76,59,No,No,232,77.33333333,C,11
381,18,male,80,59,96,Yes,No,235,78.33333333,C,10
382,21,female,63,59,83,No,Yes,205,68.33333333,D,7
383,17,female,102,77,71,Yes,Yes,250,83.33333333,B,13
384,20,male,15,20,18,Yes,Yes,53,17.66666667,F,14
385,21,male,81,72,82,No,Yes,235,78.33333333,C,10
386,17,male,74,61,61,No,No,196,65.33333333,D,14
387,18,male,90,69,57,Yes,Yes,216,72,C,14
388,18,female,93,59,69,,Yes,221,73.66666667,C,10
389,17,male,70,,79,Yes,Yes,149,49.66666667,F,5
390,18,female,59,86,70,Yes,No,215,71.66666667,C,8
391,17,female,77,46,47,No,No,170,56.66666667,E,14
392,21,male,60,59,58,Yes,No,177,59,E,10
393,21,female,100,51,67,Yes,Yes,218,72.66666667,C,10
394,17,female,72,63,67,Yes,No,202,67.33333333,D,15
395,21,female,65,71,94,No,Yes,230,76.66666667,C,9
396,21,female,73,52,50,Yes,Yes,175,58.33333333,E,5
397,21,male,50,59,75,No,Yes,184,61.33333333,D,12
398,19,male,,58,87,No,No,145,48.33333333,F,9
399,20,female,88,75,98,No,No,261,87,B,9
400,18,male,60,73,63,No,Yes,196,65.33333333,D,11
401,19,male,,62,74,,Yes,136,45.33333333,F,8
402,21,male,78,74,75,No,No,227,75.66666667,C,10
403,17,male,88,64,71,No,No,223,74.33333333,C,8
404,21,male,81,68,67,Yes,No,216,72,C,7
405,20,female,85,95,74,Yes,Yes,254,84.66666667,B,11
406,21,male,59,91,35,,Yes,185,61.66666667,D,12
407,17,male,49,54,77,Yes,Yes,180,60,D,8
408,20,male,93,84,70,Yes,No,247,82.33333333,B,6
409,21,male,65,83,65,No,No,213,71,C,14
410,20,female,66,56,95,Yes,No,217,72.33333333,C,7
411,18,female,90,83,59,No,Yes,232,77.33333333,C,5
412,18,female,78,94,63,Yes,Yes,235,78.33333333,C,12
413,21,female,77,56,94,No,No,227,75.66666667,C,7
414,20,male,102,59,57,No,Yes,218,72.66666667,C,14
415,17,female,60,86,61,Yes,No,207,69,D,11
416,21,male,84,76,66,Yes,Yes,226,75.33333333,C,14
417,18,male,71,80,79,No,No,230,76.66666667,C,9
418,18,male,74,77,71,No,Yes,222,74,C,14
419,21,male,93,77,51,No,Yes,221,73.66666667,C,9
420,20,male,78,53,61,Yes,No,192,64,D,11
421,18,female,78,87,60,Yes,No,225,75,C,13
422,20,female,86,88,67,Yes,No,241,80.33333333,B,9
423,18,female,65,69,74,Yes,No,208,69.33333333,D,5
424,18,female,57,71,73,No,No,201,67,D,14
425,19,male,54,51,45,,Yes,150,50,E,14
426,18,female,41,,82,No,No,123,41,F,5
427,17,male,101,80,71,No,No,252,84,B,6
428,21,female,53,71,86,Yes,No,210,70,C,10
429,21,male,67,88,74,No,Yes,229,76.33333333,C,13
430,20,male,66,,82,No,No,148,49.33333333,F,12
431,18,female,75,80,74,Yes,No,229,76.33333333,C,9
432,17,male,,58,86,Yes,No,144,48,F,5
433,20,male,83,72,75,No,Yes,230,76.66666667,C,11
434,19,female,61,70,67,Yes,Yes,198,66,D,9
435,20,male,67,75,98,No,No,240,80,B,10
436,20,female,74,67,80,Yes,Yes,221,73.66666667,C,11
437,18,female,66,70,75,Yes,No,211,70.33333333,C,7
438,19,female,94,84,,No,Yes,178,59.33333333,E,14
439,20,male,77,66,51,Yes,No,194,64.66666667,D,7
440,17,male,81,50,72,No,Yes,203,67.66666667,D,9
441,17,male,110,105,70,Yes,No,285,95,A,10
442,21,female,88,91,60,Yes,No,239,79.66666667,C,13
443,19,male,73,54,70,Yes,Yes,197,65.66666667,D,9
444,19,female,,82,89,Yes,No,171,57,E,5
445,21,female,76,65,77,Yes,No,218,72.66666667,C,8
446,20,male,15,20,18,No,No,53,17.66666667,F,9
447,19,female,62,76,67,Yes,No,205,68.33333333,D,14
448,17,male,79,69,58,No,Yes,206,68.66666667,D,14
449,17,male,89,61,63,Yes,No,213,71,C,9
450,18,male,70,,,No,Yes,70,23.33333333,F,11
451,19,male,75,59,62,Yes,Yes,196,65.33333333,D,8
452,20,male,96,,52,No,Yes,148,49.33333333,F,5
453,21,female,74,71,66,No,Yes,211,70.33333333,C,9
454,21,female,109,62,61,Yes,No,232,77.33333333,C,11
455,20,female,78,82,,Yes,No,160,53.33333333,E,14
456,18,male,44,93,95,Yes,Yes,232,77.33333333,C,14
457,21,male,81,64,,No,No,145,48.33333333,F,10
458,19,male,76,75,63,No,Yes,214,71.33333333,C,9
459,18,female,89,79,68,,No,236,78.66666667,C,8
460,19,male,80,79,53,Yes,No,212,70.66666667,C,6
461,17,female,68,,90,No,No,158,52.66666667,E,8
462,18,female,52,82,93,No,Yes,227,75.66666667,C,14
463,21,male,67,,70,,Yes,137,45.66666667,F,14
464,18,male,57,55,81,No,No,193,64.33333333,D,7
465,18,female,61,84,70,Yes,Yes,215,71.66666667,C,14
466,18,male,79,84,51,Yes,Yes,214,71.33333333,C,5
467,18,female,95,61,63,Yes,No,219,73,C,12
468,19,male,76,73,70,No,Yes,219,73,C,9
469,17,male,52,82,62,No,No,196,65.33333333,D,8
470,20,female,15,20,18,No,No,53,17.66666667,F,12
471,18,male,88,87,67,No,No,242,80.66666667,B,11
472,21,female,61,105,67,Yes,Yes,233,77.66666667,C,6
473,18,male,68,61,69,No,No,198,66,D,5
474,21,female,70,53,54,Yes,No,177,59,E,15
475,19,female,58,76,59,Yes,Yes,193,64.33333333,D,8
476,21,male,80,82,51,Yes,Yes,213,71,C,12
477,20,female,68,69,81,No,Yes,218,72.66666667,C,6
478,17,male,76,92,41,,Yes,209,69.66666667,D,7
479,21,male,57,53,83,Yes,No,193,64.33333333,D,5
480,21,male,63,82,86,No,Yes,231,77,C,5
481,17,female,81,,64,Yes,Yes,145,48.33333333,F,7
482,20,female,64,96,34,No,Yes,194,64.66666667,D,15
483,18,male,96,100,63,No,Yes,259,86.33333333,B,9
484,21,male,64,61,67,,No,192,64,D,7
485,17,female,73,64,55,Yes,Yes,192,64,D,5
486,19,male,84,84,61,No,No,229,76.33333333,C,5
487,17,male,49,67,88,No,Yes,204,68,D,12
488,19,female,44,71,77,No,No,192,64,D,14
489,20,male,47,72,56,No,No,175,58.33333333,E,15
490,18,female,89,45,47,Yes,Yes,181,60.33333333,D,6
491,17,male,62,72,64,No,No,198,66,D,7
